# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 21:26:43 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8672910,K00918.01,Kepler-725 b,CONFIRMED,CANDIDATE,,,,,,39.6432310,3.40000e-05,-3.40000e-05,206.59675,2.70000e-04,-2.70000e-04,0.0000,0.470,-0.470,6.5002,,,15541,,,10.29,,,465.0,,,,,,590.80,,,5321.00,,,4.520,,,0.8500,,,283.977510,44.811562,15.011
8686150,K00919.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,51.4258533,,,173.53598,,,,,,14.7000,,,67615,,,,,,,,,,,,2061.60,,,5953.00,,,4.447,,,,,,290.638980,44.806789,15.631
8689031,K00920.01,Kepler-726 b,CONFIRMED,CANDIDATE,,,,,,21.8044100,1.40000e-04,-1.40000e-04,190.49690,2.30000e-03,-2.30000e-03,0.7100,0.990,-0.990,3.3299,,,1158,,,2.40,,,512.0,,,,,,40.50,,,5330.00,,,4.680,,,0.6600,,,291.717320,44.887310,15.067
8689373,K00921.01,Kepler-253 c,CONFIRMED,CANDIDATE,,,,,,10.2819250,6.80000e-05,-6.80000e-05,175.33980,2.20000e-03,-2.20000e-03,0.6900,0.530,-0.530,3.6155,,,1134,,,2.66,,,651.0,,,,,,43.40,,,5046.00,,,4.620,,,0.7500,,,291.841980,44.858089,15.532
8689373,K00921.02,Kepler-253 d,CONFIRMED,CANDIDATE,,,,,,18.1197800,1.30000e-04,-1.30000e-04,182.61710,2.40000e-03,-2.40000e-03,0.7000,0.520,-0.520,4.3562,,,1475,,,3.09,,,540.0,,,,,,46.50,,,5046.00,,,4.620,,,0.7500,,,291.841980,44.858089,15.532
8689373,K00921.03,Kepler-253 b,CONFIRMED,CANDIDATE,,,,,,3.7840640,3.80000e-05,-3.80000e-05,133.27580,3.30000e-03,-3.30000e-03,0.8500,0.400,-0.400,1.9481,,,417,,,1.76,,,911.0,,,,,,19.90,,,5046.00,,,4.620,,,0.7500,,,291.841980,44.858089,15.532
8826878,K00922.01,Kepler-727 b,CONFIRMED,CANDIDATE,,,,,,5.1544410,3.10000e-05,-3.10000e-05,171.64140,2.00000e-03,-2.00000e-03,0.2600,0.720,-0.720,2.8347,,,665,,,2.13,,,912.0,,,,,,40.20,,,5253.00,,,4.490,,,0.8400,,,294.846890,45.034409,15.365
8349582,K00122.01,Kepler-95 b,CONFIRMED,CANDIDATE,,,,,,11.5230630,2.80000e-05,-2.80000e-05,131.96866,9.20000e-04,-9.20000e-04,0.8300,0.140,-0.140,4.0638,,,514,,,2.78,,,823.0,,,,,,105.50,,,5714.00,,,4.390,,,1.0900,,,284.482450,44.398041,12.346
8883593,K00923.01,Kepler-728 b,CONFIRMED,CANDIDATE,,,,,,5.7434910,2.70000e-05,-2.70000e-05,174.89750,1.50000e-03,-1.50000e-03,0.6400,0.430,-0.430,3.5347,,,1143,,,3.00,,,926.0,,,,,,52.40,,,5669.00,,,4.560,,,0.8500,,,291.092350,45.115528,15.543
8951215,K00924.01,,CANDIDATE,CANDIDATE,,,,,,39.4758500,4.30000e-04,-4.30000e-04,173.31140,3.50000e-03,-3.50000e-03,0.9200,0.420,-0.420,2.6160,,,1007,,,3.62,,,533.0,,,,,,22.50,,,5951.00,,,4.500,,,0.9500,,,291.208040,45.244389,15.229
9016295,K00925.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,19.9744832,,,171.62935,,,,,,3.9000,,,38643,,,,,,,,,,,,1260.30,,,5819.00,,,4.500,,,,,,289.727480,45.367661,15.217
9077124,K00926.01,Kepler-729 b,CONFIRMED,CANDIDATE,,,,,,3.1663528,9.70000e-06,-9.70000e-06,170.96571,9.50000e-04,-9.50000e-04,0.0900,0.490,-0.490,3.3168,,,1524,,,3.58,,,1180.0,,,,,,92.00,,,5741.00,,,4.510,,,0.9300,,,286.360110,45.414291,15.603
9097120,K00927.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,23.8996500,,,188.98183,,,,,,3.5700,,,20765,,,,,,,,,,,,544.20,,,5957.00,,,4.532,,,,,,294.717680,45.485760,15.453
9140402,K00928.01,,CANDIDATE,CANDIDATE,,,,,,2.4941550,1.90000e-05,-1.90000e-05,170.85570,2.20000e-03,-2.20000e-03,0.9700,0.290,-0.290,2.5908,,,470,,,2.56,,,1212.0,,,,,,32.20,,,5565.00,,,4.540,,,0.8500,,,284.759430,45.599129,15.251
9141746,K00929.01,Kepler-730 b,CONFIRMED,CANDIDATE,,,,,,6.4916717,5.70000e-06,-5.70000e-06,174.63330,3.20000e-04,-3.20000e-04,0.3900,0.250,-0.250,4.2273,,,7238,,,8.88,,,990.0,,,,,,374.90,,,5820.00,,,4.440,,,1.0400,,,285.554810,45.578861,15.649
9159275,K00930.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.0448542,,,172.01094,,,,,,7.0700,,,1568,,,,,,,,,,,,164.20,,,5346.00,,,4.639,,,,,,293.684940,45.516830,15.621
9166862,K00931.01,Kepler-731 b,CONFIRMED,CANDIDATE,,,,,,3.8556024,1.10000e-06,-1.10000e-06,170.67825,9.00000e-05,-9.00000e-05,0.0200,0.250,-0.250,3.1938,,,15998,,,12.05,,,1121.0,,,,,,746.30,,,5714.00,,,4.500,,,0.9700,,,296.393160,45.568562,15.272
9166870,K00932.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.8556029,,,170.67846,,,,,,2.9700,,,1230,,,,,,,,,,,,102.50,,,5666.00,,,4.523,,,,,,296.395420,45.569920,15.054
5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE,,,,,,6.4816740,1.80000e-05,-1.80000e-05,122.97370,1.00000e-03,-1.00000e-03,0.5600,0.210,-0.210,3.6334,,,318,,,2.64,,,1181.0,,,,,,98.50,,,5871.00,,,4.150,,,1.4300,,,290.392730,40.284870,12.365
9171801,K00933.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.1856690,,,171.65937,,,,,,1.9000,,,379,,,,,,,,,,,,6.20,,,5248.00,,,4.569,,,,,,297.788480,45.565418,15.653
9334289,K00934.01,Kepler-254 b,CONFIRMED,CANDIDATE,,,,,,5.8266590,2.40000e-05,-2.40000e-05,173.01010,1.40000e-03,-1.40000e-03,0.8100,0.310,-0.310,3.1739,,,1531,,,3.74,,,937.0,,,,,,60.10,,,5733.00,,,4.550,,,0.8600,,,288.164700,45.816509,15.843
9334289,K00934.02,Kepler-254 c,CONFIRMED,CANDIDATE,,,,,,12.4121100,1.90000e-04,-1.90000e-04,142.54420,5.80000e-03,-5.80000e-03,0.8600,0.270,-0.270,3.4349,,,594,,,2.38,,,729.0,,,,,,16.80,,,5733.00,,,4.550,,,0.8600,,,288.164700,45.816509,15.843
9334289,K00934.03,Kepler-254 d,CONFIRMED,CANDIDATE,,,,,,18.7465600,3.00000e-04,-3.00000e-04,147.12750,6.00000e-03,-6.00000e-03,0.8600,0.270,-0.270,4.0089,,,771,,,2.73,,,635.0,,,,,,18.50,,,5733.00,,,4.550,,,0.8600,,,288.164700,45.816509,15.843
9347899,K00935.01,Kepler-31 b,CONFIRMED,CANDIDATE,,,,,,20.8611450,8.90000e-05,-8.90000e-05,180.00530,1.40000e-03,-1.40000e-03,0.8300,0.120,-0.120,5.6634,,,1949,,,5.46,,,745.0,,,,,,89.30,,,6345.00,,,4.420,,,1.1000,,,294.023010,45.853081,15.237
9347899,K00935.02,Kepler-31 c,CONFIRMED,CANDIDATE,,,,,,42.6318800,3.20000e-04,-3.20000e-04,141.19250,2.90000e-03,-2.90000e-03,0.8500,0.110,-0.110,6.7766,,,1644,,,5.07,,,586.0,,,,,,56.00,,,6345.00,,,4.420,,,1.1000,,,294.023010,45.853081,15.237
9347899,K00935.03,Kepler-31 d,CONFIRMED,CANDIDATE,,,,,,87.6472000,1.50000e-03,-1.50000e-03,134.93970,6.10000e-03,-6.10000e-03,0.8100,0.140,-0.140,9.2599,,,1120,,,4.01,,,461.0,,,,,,28.50,,,6345.00,,,4.420,,,1.1000,,,294.023010,45.853081,15.237
9347899,K00935.04,,CANDIDATE,CANDIDATE,,,,,,9.6168600,2.10000e-04,-2.10000e-04,142.50270,8.00000e-03,-8.00000e-03,0.8900,0.180,-0.180,3.4127,,,196,,,1.88,,,965.0,,,,,,11.60,,,6345.00,,,4.420,,,1.1000,,,294.023010,45.853081,15.237
9388479,K00936.01,Kepler-732 b,CONFIRMED,CANDIDATE,,,,,,9.4678390,2.10000e-05,-2.10000e-05,178.41507,7.60000e-04,-7.60000e-04,0.7600,0.450,-0.450,2.6326,,,2249,,,2.69,,,439.0,,,,,,96.20,,,3684.00,,,4.740,,,0.5200,,,283.732030,45.958771,15.073
9388479,K00936.02,Kepler-732 c,CONFIRMED,CANDIDATE,,,,,,0.8930477,2.80000e-06,-2.80000e-06,134.53814,3.80000e-04,-3.80000e-04,0.7500,0.460,-0.460,1.1894,,,739,,,1.54,,,956.0,,,,,,72.30,,,3684.00,,,4.740,,,0.5200,,,283.732030,45.958771,15.073
5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE,,,,,,21.2225340,9.30000e-05,-9.30000e-05,137.57380,1.70000e-03,-1.70000e-03,0.0100,0.760,-0.760,6.4708,,,366,,,2.71,,,793.0,,,,,,78.30,,,5871.00,,,4.150,,,1.4300,,,290.392730,40.284870,12.365
9406990,K00937.01,Kepler-733 b,CONFIRMED,CANDIDATE,,,,,,20.8349500,1.80000e-04,-1.80000e-04,176.57800,3.20000e-03,-3.20000e-03,0.3400,0.990,-0.990,4.0548,,,1004,,,2.72,,,575.0,,,,,,31.40,,,5349.00,,,4.540,,,0.8700,,,293.018280,45.914688,15.412
9415172,K00938.01,Kepler-255 c,CONFIRMED,CANDIDATE,,,,,,9.9460490,6.70000e-05,-6.70000e-05,171.70020,2.40000e-03,-2.40000e-03,0.8300,0.360,-0.360,3.4912,,,1037,,,3.16,,,730.0,,,,,,40.00,,,5342.00,,,4.550,,,0.8600,,,296.064240,45.976841,15.596
9415172,K00938.02,Kepler-255 d,CONFIRMED,CANDIDATE,,,,,,1.0456320,1.40000e-05,-1.40000e-05,133.91410,2.40000e-03,-2.40000e-03,0.7700,0.420,-0.420,1.8348,,,227,,,1.38,,,1548.0,,,,,,19.20,,,5342.00,,,4.550,,,0.8600,,,296.064240,45.976841,15.596
9415172,K00938.03,Kepler-255 b,CONFIRMED,CANDIDATE,,,,,,5.7144200,1.00000e-04,-1.00000e-04,132.64770,6.40000e-03,-6.40000e-03,0.8900,0.310,-0.310,2.3220,,,282,,,1.74,,,879.0,,,,,,12.00,,,5342.00,,,4.550,,,0.8600,,,296.064240,45.976841,15.596
9466668,K00939.01,Kepler-256 c,CONFIRMED,CANDIDATE,,,,,,3.3880080,3.40000e-05,-3.40000e-05,170.53250,3.00000e-03,-3.00000e-03,0.5400,0.400,-0.400,2.7145,,,294,,,1.57,,,1133.0,,,,,,25.20,,,5649.00,,,4.530,,,0.9100,,,292.580440,46.097389,15.065
9466668,K00939.02,Kepler-256 d,CONFIRMED,CANDIDATE,,,,,,5.8390610,7.70000e-05,-7.70000e-05,132.09440,4.60000e-03,-4.60000e-03,0.5900,0.390,-0.390,3.1245,,,286,,,1.57,,,939.0,,,,,,20.30,,,5649.00,,,4.530,,,0.9100,,,292.580440,46.097389,15.065
9466668,K00939.03,Kepler-256 b,CONFIRMED,CANDIDATE,,,,,,1.6204360,2.20000e-05,-2.20000e-05,132.06940,3.40000e-03,-3.40000e-03,0.5300,0.390,-0.390,2.1337,,,137,,,1.13,,,1446.0,,,,,,15.70,,,5649.00,,,4.530,,,0.9100,,,292.580440,46.097389,15.065
9466668,K00939.04,Kepler-256 e,CONFIRMED,CANDIDATE,,,,,,10.6817600,1.80000e-04,-1.80000e-04,131.55000,6.20000e-03,-6.20000e-03,0.6600,0.360,-0.360,3.5771,,,303,,,1.65,,,771.0,,,,,,17.20,,,5649.00,,,4.530,,,0.9100,,,292.580440,46.097389,15.065
9479273,K00940.01,Kepler-734 b,CONFIRMED,CANDIDATE,,,,,,6.1048620,1.10000e-05,-1.10000e-05,169.57151,5.50000e-04,-5.50000e-04,0.0200,0.270,-0.270,4.6174,,,2084,,,3.67,,,837.0,,,,,,131.70,,,5284.00,,,4.570,,,0.8300,,,297.045620,46.027359,15.017
9480189,K00941.01,Kepler-257 c,CONFIRMED,CANDIDATE,,,,,,6.5815010,1.70000e-05,-1.70000e-05,174.78619,7.60000e-04,-7.60000e-04,0.0300,0.600,-0.600,3.0976,,,2261,,,4.14,,,821.0,,,,,,99.30,,,4998.00,,,4.460,,,0.9000,,,297.315980,46.023258,15.471
5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,,,,,,17.8551490,1.00000e-05,-1.00000e-05,146.59692,2.10000e-04,-2.10000e-04,0.0300,0.110,-0.110,7.4066,,,9271,,,13.23,,,876.0,,,,,,898.60,,,6419.00,,,4.260,,,1.3800,,,297.453740,41.010990,11.353
11086270,K00124.01,Kepler-110 b,CONFIRMED,CANDIDATE,,,,,,12.6911500,1.10000e-04,-1.10000e-04,137.12120,3.10000e-03,-3.10000e-03,0.9000,0.110,-0.110,4.1529,,,262,,,3.00,,,990.0,,,,,,36.00,,,5899.00,,,4.070,,,1.5800,,,292.929140,48.602810,12.935
9480189,K00941.02,Kepler-257 b,CONFIRMED,CANDIDATE,,,,,,2.3826650,1.30000e-05,-1.30000e-05,170.66320,1.30000e-03,-1.30000e-03,0.5400,0.510,-0.510,1.8525,,,677,,,2.37,,,1153.0,,,,,,38.60,,,4998.00,,,4.460,,,0.9000,,,297.315980,46.023258,15.471
9480189,K00941.03,Kepler-257 d,CONFIRMED,CANDIDATE,,,,,,24.6645400,1.10000e-04,-1.10000e-04,189.02030,1.30000e-03,-1.30000e-03,0.8400,0.330,-0.330,2.9456,,,2430,,,5.10,,,528.0,,,,,,59.60,,,4998.00,,,4.460,,,0.9000,,,297.315980,46.023258,15.471
9512687,K00942.01,Kepler-735 b,CONFIRMED,CANDIDATE,,,,,,11.5150930,4.70000e-05,-4.70000e-05,174.85970,1.40000e-03,-1.40000e-03,0.7100,0.600,-0.600,2.0548,,,1366,,,3.08,,,627.0,,,,,,48.30,,,4997.00,,,4.600,,,0.7800,,,284.688870,46.172249,15.386
9513865,K00943.01,Kepler-736 b,CONFIRMED,CANDIDATE,,,,,,3.6014490,1.80000e-05,-1.80000e-05,171.99180,1.50000e-03,-1.50000e-03,0.2400,1.000,-1.000,2.2486,,,839,,,2.23,,,968.0,,,,,,43.80,,,5178.00,,,4.580,,,0.7900,,,285.391330,46.180939,15.733
9595686,K00944.01,,CANDIDATE,CANDIDATE,,,,,,3.1082511,5.90000e-06,-5.90000e-06,170.24404,5.80000e-04,-5.80000e-04,0.9000,0.140,-0.140,2.5337,,,1869,,,4.29,,,1046.0,,,,,,122.20,,,5166.00,,,4.520,,,0.8200,,,294.799740,46.207569,15.361
9605514,K00945.01,Kepler-1666 b,CONFIRMED,CANDIDATE,,,,,,25.8472300,4.50000e-04,-4.50000e-04,188.87550,5.10000e-03,-5.10000e-03,0.5600,0.410,-0.410,6.1635,,,536,,,2.27,,,627.0,,,,,,23.30,,,6059.00,,,4.500,,,0.9500,,,297.951600,46.264721,15.083
9605514,K00945.02,Kepler-1666 c,CONFIRMED,CANDIDATE,,,,,,40.7165200,6.50000e-04,-6.50000e-04,146.35950,5.60000e-03,-5.60000e-03,0.6000,0.390,-0.390,7.0083,,,725,,,2.64,,,538.0,,,,,,25.70,,,6059.00,,,4.500,,,0.9500,,,297.951600,46.264721,15.083
9661877,K00946.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,20.4270216,,,176.71813,,,,,,2.6000,,,1769,,,,,,,,,,,,55.20,,,5730.00,,,4.524,,,,,,296.659150,46.382172,15.163
9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,,,,,,28.5987800,1.90000e-04,-1.90000e-04,189.92820,2.00000e-03,-2.00000e-03,0.8900,0.250,-0.250,4.0377,,,1607,,,2.49,,,314.0,,,,,,41.10,,,3829.00,,,4.740,,,0.5200,,,291.862850,46.429260,15.190
